EmployeeId,BusinessTravel,EducationField,JobRole,MaritalStatus,OverTime,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsWithCurrManager,Age,JobSatisfaction,EnvironmentSatisfaction,NumCompaniesWorked,YearsSinceLastPromotion,Attrition,Attrition (Actual),PredictedAttrition,Probability
1,Travel_Frequently,Other,Human Resources,Married,Yes,2991,7,6,2,38,2,4,0,1,0,0,0,0.0166
4,Travel_Frequently,Marketing,Sales Executive,Married,No,13525,23,20,8,42,2,3,5,4,0,0,0,0.4317
5,Travel_Rarely,Medical,Research Scientist,Married,No,2001,20,5,2,40,3,3,2,0,0,0,0,0.0735
6,Travel_Rarely,Medical,Human Resources,Married,No,2804,1,1,0,29,2,4,1,0,0,0,0,0.252
7,Travel_Rarely,Medical,Sales Executive,Married,Yes,7457,6,4,2,40,4,2,2,0,0,0,0,0.1341
9,Travel_Frequently,Medical,Laboratory Technician,Single,No,2153,8,8,7,36,4,2,1,1,0,0,0,0.009
10,Travel_Rarely,Life Sciences,Research Director,Single,No,11159,10,7,7,32,4,3,3,7,0,0,0,0.3218
11,Travel_Rarely,Marketing,Sales Executive,Married,No,4256,5,5,3,25,1,3,1,0,0,0,0,0.0446
13,Travel_Rarely,Medical,Sales Executive,Married,Yes,4591,11,5,2,47,3,3,3,1,0,0,0,0.4129
14,Travel_Rarely,Life Sciences,Research Director,Single,No,15992,16,1,0,42,4,1,2,0,0,0,0,0.0187
15,Travel_Rarely,Medical,Healthcare Representative,Married,Yes,5855,10,9,5,31,4,4,0,8,0,0,0,0.0468
16,Non-Travel,Medical,Research Scientist,Divorced,Yes,5329,17,13,9,38,4,2,7,1,0,0,0,0.1944
17,Travel_Rarely,Technical Degree,Healthcare Representative,Single,No,4553,20,20,10,39,3,4,1,11,0,0,0,0.2837
18,Travel_Rarely,Medical,Research Director,Married,No,19406,24,4,2,54,1,1,4,1,0,0,0,0.0786
19,Travel_Frequently,Life Sciences,Manufacturing Director,Divorced,No,5206,7,7,7,25,3,4,1,0,0,0,0,0.008
20,Travel_Rarely,Medical,Manager,Married,No,18711,23,1,0,49,3,1,2,0,0,0,0,0.1971
21,Travel_Rarely,Medical,Research Scientist,Married,Yes,2725,6,6,4,24,4,2,1,1,0,0,0,0.1495
22,Travel_Rarely,Life Sciences,Manufacturing Director,Single,No,13237,22,20,13,40,3,2,7,5,0,0,0,0.1546
23,Non-Travel,Life Sciences,Sales Executive,Single,No,6230,16,14,10,41,4,4,7,1,0,0,0,0.0482
24,Travel_Rarely,Technical Degree,Sales Executive,Married,Yes,5228,13,13,9,32,2,3,1,11,0,0,0,0.0918
26,Travel_Rarely,Life Sciences,Laboratory Technician,Married,No,3211,10,9,4,49,1,3,1,1,0,0,0,0.0298
27,Travel_Rarely,Technical Degree,Laboratory Technician,Divorced,No,2296,2,1,0,24,1,3,0,0,0,0,0,0.0096
28,Travel_Rarely,Medical,Manager,Divorced,Yes,17123,21,19,2,39,2,3,6,15,0,0,0,0.1821
29,Travel_Rarely,Medical,Human Resources,Married,No,2267,7,2,2,59,3,2,8,2,0,0,0,0.1246
30,Travel_Rarely,Life Sciences,Manager,Married,No,19658,27,5,0,47,3,4,3,1,0,0,0,0.2472
31,Travel_Rarely,Life Sciences,Healthcare Representative,Married,Yes,6586,17,16,11,36,4,3,0,4,0,0,0,0.0409
32,Travel_Rarely,Life Sciences,Laboratory Technician,Divorced,No,3491,10,10,9,30,3,3,1,8,0,0,0,0.1497
33,Travel_Rarely,Human Resources,Human Resources,Married,No,2844,7,7,0,38,3,3,1,5,0,0,1,0.8756
35,Travel_Rarely,Life Sciences,Research Scientist,Divorced,Yes,2695,3,2,2,31,4,3,0,2,0,0,0,0.0214
36,Non-Travel,Medical,Sales Executive,Single,No,6653,7,1,0,36,4,4,4,0,0,0,0,0.0509
37,Travel_Rarely,Medical,Manufacturing Director,Married,Yes,6162,9,9,8,32,4,1,1,7,0,0,0,0.1337
38,Travel_Rarely,Technical Degree,Laboratory Technician,Divorced,No,4876,8,6,2,43,2,4,5,0,0,0,0,0.0114
39,Non-Travel,Medical,Sales Executive,Married,No,4221,5,5,4,28,3,2,1,0,0,0,0,0.0342
41,Travel_Rarely,Marketing,Sales Representative,Married,No,3875,4,2,2,50,2,4,7,2,0,0,0,0.2131
42,Travel_Rarely,Medical,Healthcare Representative,Divorced,No,9613,19,18,7,39,4,3,0,3,0,0,0,0.0496
43,Travel_Rarely,Medical,Laboratory Technician,Married,No,2426,6,5,3,35,2,1,0,0,0,0,0,0.0145
44,Travel_Frequently,Life Sciences,Sales Executive,Married,No,6524,10,10,3,32,2,2,1,5,0,0,0,0.3889
46,Travel_Rarely,Life Sciences,Healthcare Representative,Married,No,4152,11,11,8,30,4,3,1,10,0,0,0,0.443
47,Travel_Rarely,Life Sciences,Sales Executive,Married,No,5343,10,10,9,38,4,1,1,1,0,0,0,0.0789
48,Travel_Rarely,Life Sciences,Human Resources,Divorced,No,2064,6,5,3,30,3,3,0,1,0,0,0,0.0085
49,Travel_Frequently,Life Sciences,Manufacturing Director,Single,No,9526,10,9,8,38,3,4,0,1,0,0,0,0.0174
50,Travel_Rarely,Technical Degree,Sales Representative,Single,No,3447,3,3,2,21,3,3,1,1,0,0,0,0.0524
51,Travel_Rarely,Other,Manufacturing Director,Single,No,10221,17,8,6,35,3,3,3,1,0,0,0,0.0306
52,Travel_Rarely,Marketing,Manager,Married,Yes,19331,27,1,0,50,3,3,4,0,0,0,1,0.5924
53,Travel_Frequently,Life Sciences,Manufacturing Director,Divorced,No,4724,9,9,2,34,4,3,1,7,0,0,0,0.0904
54,Travel_Frequently,Life Sciences,Manufacturing Director,Divorced,No,6397,6,6,4,26,2,3,1,1,0,0,0,0.0148
56,Travel_Rarely,Medical,Research Scientist,Married,No,2141,6,6,1,30,2,2,1,1,0,0,1,0.6844
57,Travel_Rarely,Medical,Laboratory Technician,Married,No,2370,8,8,7,32,2,3,1,0,0,0,0,0.0338
58,Travel_Rarely,Marketing,Sales Executive,Single,No,5396,10,10,8,32,4,4,1,0,0,0,0,0.0327
59,Travel_Rarely,Life Sciences,Research Scientist,Divorced,No,2768,14,7,7,34,3,4,3,5,0,0,0,0.2223
60,Travel_Frequently,Life Sciences,Manager,Married,No,11878,12,10,8,33,2,4,6,8,0,0,0,0.2
61,Travel_Rarely,Medical,Manufacturing Director,Divorced,No,5070,20,5,4,47,4,1,5,0,0,0,0,0.0097
62,Travel_Rarely,Life Sciences,Sales Representative,Married,No,2404,1,1,0,35,3,4,1,0,0,0,0,0.2372
63,Travel_Rarely,Life Sciences,Laboratory Technician,Married,No,3833,7,2,2,30,3,4,3,0,0,0,0,0.0177
64,Travel_Rarely,Medical,Research Scientist,Married,Yes,3346,9,1,0,58,2,2,4,0,0,0,1,0.7295
66,Travel_Rarely,Technical Degree,Research Director,Single,No,16704,21,21,6,45,2,4,1,8,0,0,0,0.3868
67,Non-Travel,Life Sciences,Sales Representative,Divorced,No,3482,16,9,0,52,4,1,2,0,0,0,0,0.1929
68,Travel_Rarely,Life Sciences,Laboratory Technician,Single,No,2288,2,2,1,38,4,3,1,2,0,0,0,0.0343
70,Travel_Rarely,Medical,Sales Representative,Married,No,3540,9,9,8,27,3,2,1,5,0,0,1,0.6234
71,Travel_Frequently,Medical,Manufacturing Director,Married,Yes,13247,24,5,2,52,3,4,2,0,0,0,0,0.049
72,Travel_Rarely,Medical,Laboratory Technician,Married,No,4789,10,3,2,49,1,3,4,1,0,0,0,0.0272
73,Travel_Rarely,Marketing,Sales Executive,Divorced,Yes,5454,9,4,3,44,1,2,5,1,0,0,0,0.2059
